Bed_ID,Department_ID,Bed_Type,Availability_Status,Admission_ID
172,5,General,Available,
173,5,General,Available,
174,5,General,Available,
175,5,Private,Available,
176,5,Private,Available,
177,5,ICU,Available,
178,5,General,Available,
179,5,General,Maintenance,
180,5,General,Available,
181,6,ICU,Occupied,1039.0
182,6,General,Occupied,1768.0
183,6,General,Occupied,2252.0
184,6,Private,Occupied,3039.0
185,6,Private,Available,
186,6,General,Available,
187,6,General,Available,
188,6,ICU,Available,
189,6,General,Available,
190,6,General,Available,
191,6,General,Available,
192,6,General,Available,
193,6,General,Available,
194,6,General,Available,
195,6,Private,Available,
196,7,General,Occupied,227.0
197,7,General,Occupied,644.0
198,7,General,Occupied,815.0
199,7,ICU,Occupied,1116.0
200,7,General,Occupied,1238.0
201,7,General,Occupied,1974.0
202,7,General,Occupied,2791.0
203,7,Private,Occupied,3157.0
204,7,Private,Occupied,3482.0
205,7,ICU,Available,
206,7,ICU,Available,
207,7,Private,Available,
208,7,General,Available,
209,7,ICU,Available,
210,7,General,Maintenance,
211,7,General,Maintenance,
212,7,General,Available,
213,7,ICU,Available,
214,7,ICU,Available,
215,7,Private,Available,
216,7,ICU,Available,
217,7,General,Available,
218,7,General,Available,
219,7,General,Available,
220,7,ICU,Available,
221,7,General,Available,
222,7,ICU,Available,
223,7,Private,Available,
224,7,ICU,Available,
225,7,General,Maintenance,
226,7,Private,Available,
227,7,ICU,Available,
228,7,ICU,Available,
229,7,General,Available,
230,7,General,Available,
231,7,General,Maintenance,
232,7,General,Available,
233,7,General,Available,
234,7,General,Available,
235,7,General,Available,
236,7,ICU,Maintenance,
237,7,ICU,Available,
238,7,ICU,Available,
239,7,General,Maintenance,
240,7,Private,Maintenance,
241,8,General,Occupied,441.0
242,8,General,Occupied,697.0
243,8,General,Available,
244,8,ICU,Available,
245,8,General,Available,
246,8,General,Available,
247,8,General,Available,
248,8,Private,Available,
249,8,Private,Available,
250,8,ICU,Available,
251,8,Private,Maintenance,
252,8,General,Available,
253,8,General,Maintenance,
254,8,ICU,Available,
255,8,General,Available,
256,8,General,Available,
257,8,General,Available,
258,8,General,Available,
259,8,ICU,Available,
260,8,General,Available,
261,8,General,Available,
262,8,General,Available,
263,8,General,Available,
264,8,General,Available,
265,8,General,Available,
266,8,General,Available,
267,8,General,Available,
268,8,ICU,Available,
